City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Narsaq,20,GL,1562256655,47,60.91,-46.05,59.0,6.93
ChengDe,84,CN,1562256655,68,40.97,117.93,68.7,3.4
Chuy,14,UY,1562256655,63,-33.69,-53.46,48.18,18.16
Tiksi,100,RU,1562256655,92,71.64,128.87,35.58,5.23
Mataura,45,NZ,1562256655,95,-46.19,168.86,39.99,1.99
Codrington,90,AU,1562256655,93,-28.95,153.24,60.8,5.82
Brora,75,GB,1562256655,67,58.01,-3.85,60.01,17.22
Araceli,99,PH,1562256656,92,10.55,119.99,75.9,2.24
Rikitea,40,PF,1562256656,69,-23.12,-134.97,66.36,23.22
Castro,20,CL,1562256656,100,-42.48,-73.76,42.8,0.92
Te Anau,49,NZ,1562256656,86,-45.41,167.72,37.38,3.6
Bethel,90,US,1562256486,100,60.79,-161.76,51.8,3.36
Faanui,100,PF,1562256535,76,-16.48,-151.75,75.54,31.9
Presidencia Roque Saenz Pena,1,AR,1562256656,44,-26.79,-60.44,57.36,6.93
Batagay-Alyta,100,RU,1562256657,74,67.8,130.41,39.54,2.73
Mau,100,IN,1562256657,40,25.94,83.57,98.76,8.48
Barrow,88,AR,1562256657,71,-38.31,-60.23,41.88,18.66
Bida,62,NG,1562256657,60,9.08,6.02,88.86,1.16
Verkhnyaya Inta,76,RU,1562256657,47,65.99,60.32,80.22,10.65
Koshurnikovo,100,RU,1562256657,78,54.3,93.39,60.6,0.89
Provideniya,100,RU,1562256657,89,64.42,-173.23,48.18,4.27
Saryozek,0,KZ,1562256658,32,44.36,77.98,71.22,1.01
Sola,61,TZ,1562256658,28,-3.17,33.8,82.38,3.22
Cayenne,75,GF,1562256658,79,4.94,-52.33,84.2,14.99
Dubti,92,ET,1562256658,15,11.74,41.09,104.88,12.66
Gumdag,12,TM,1562256658,12,39.2,54.59,94.62,11.5
Arraial do Cabo,40,BR,1562256658,69,-22.97,-42.02,80.6,9.17
Cabo San Lucas,5,MX,1562256656,48,22.89,-109.91,91.0,11.41
Hobart,0,AU,1562256565,93,-42.88,147.33,41.0,4.7
Ilulissat,20,GL,1562256366,57,69.22,-51.1,50.0,4.7
Lewiston,90,US,1562256536,35,44.1,-70.21,89.01,5.82
Dikson,100,RU,1562256659,96,73.51,80.55,34.5,15.26
Hilo,90,US,1562256659,88,19.71,-155.08,73.4,3.58
Hasaki,75,JP,1562256659,100,35.73,140.83,66.2,8.05
Portland,90,US,1562256497,35,43.66,-70.25,89.01,5.82
Jamestown,0,AU,1562256491,79,-33.21,138.6,48.72,8.37
Lasem,5,ID,1562256659,87,-6.99,112.52,76.62,4.76
Burnie,0,AU,1562256659,71,-41.05,145.91,50.0,3.0
Ushuaia,0,AR,1562256660,92,-54.81,-68.31,26.6,5.82
Saldanha,100,PT,1562256660,21,41.42,-6.55,85.44,14.23
La Baule-Escoublac,0,FR,1562256660,28,47.28,-2.4,88.0,16.11
Kahului,1,US,1562256430,78,20.89,-156.47,71.6,4.7
Vaini,100,IN,1562256660,87,15.34,74.49,78.96,5.86
Vestmannaeyjar,75,IS,1562256660,100,63.44,-20.27,51.8,11.41
Carnarvon,0,ZA,1562256661,17,-30.97,22.13,60.42,13.0
Abnub,0,EG,1562256661,17,27.27,31.15,98.6,16.11
Hermanus,100,ZA,1562256714,65,-34.42,19.24,64.0,8.99
Port Alfred,0,ZA,1562256714,91,-33.59,26.89,55.99,1.01
Maceio,75,BR,1562256715,62,-9.67,-35.74,84.2,9.17
Georgetown,40,GY,1562256462,79,6.8,-58.16,86.0,11.41
Mandal,0,MN,1562256715,59,48.82,106.5,55.02,7.56
Vysotsk,0,RU,1562256715,34,60.63,28.57,68.0,9.17
Krasnyy Yar,0,RU,1562256715,48,50.7,44.73,69.78,11.45
East London,0,ZA,1562256504,72,-33.02,27.91,62.6,4.7
Esmeraldas,40,BR,1562256715,26,-19.76,-44.31,82.4,17.22
Yellowknife,20,CA,1562256533,67,62.45,-114.38,59.0,8.05
Roald,40,NO,1562256716,66,62.58,6.12,55.4,9.17
Longyearbyen,0,NO,1562256716,54,78.22,15.63,53.6,20.8
Snezhnogorsk,75,RU,1562256716,81,69.19,33.23,51.8,2.24
Busselton,83,AU,1562256716,98,-33.64,115.35,51.01,29.89
Mount Isa,0,AU,1562256716,42,-20.73,139.49,62.6,8.05
